# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score     S(PLP)   S(hbond)     S(cho)   S(metal)  DE(clash)   DE(tors)     intcor     time                               File name                Ligand name

     66.29     -36.29       2.49       0.00       3.94       0.00       0.66       0.13   22.377      './gold_soln_DecoysActives_m1_5.sdf'               'Compound 1'
     63.82     -35.89       1.99       0.00       3.96       0.00       1.04       0.25    3.745      './gold_soln_DecoysActives_m2_4.sdf'               'Compound 2'
     68.25     -31.62       4.76       0.00       3.99       0.00       0.90       0.22   27.008     './gold_soln_DecoysActives_m3_19.sdf'               'Compound 3'
     65.81     -34.98       3.68       0.00       3.97       0.00       2.09       0.14    4.031      './gold_soln_DecoysActives_m4_2.sdf'               'Compound 4'
     50.17     -17.92       3.00       0.00       3.95       0.00       0.24       0.05    1.175      './gold_soln_DecoysActives_m5_3.sdf'               'Compound 5'
     61.28     -28.93       3.00       0.00       3.99       0.00       0.64       0.70   18.421      './gold_soln_DecoysActives_m6_3.sdf'               'Compound 6'
     46.93     -21.85       2.98       0.00       3.00       0.00       0.93       0.01   13.054      './gold_soln_DecoysActives_m7_4.sdf'               'Compound 7'
     51.52     -52.33       0.00       0.00       0.00       0.00       0.40       0.00    3.284     './gold_soln_DecoysActives_m8_17.sdf'               'Compound 1'
     48.98     -34.47       1.00       0.00       1.94       0.00       0.09       0.05    1.212      './gold_soln_DecoysActives_m9_2.sdf'               'Compound 2'
     42.21     -31.15       1.69       0.00       1.00       0.00       0.00       0.00    0.122     './gold_soln_DecoysActives_m10_2.sdf'               'Compound 3'
     35.14     -32.14       1.00       0.00       0.00       0.00       0.00       0.00    0.256     './gold_soln_DecoysActives_m11_3.sdf'               'Compound 4'
     50.10     -30.63       2.55       0.00       2.00       0.00       1.05       1.94    1.043     './gold_soln_DecoysActives_m12_3.sdf'               'Compound 5'
     33.18     -15.44       1.00       1.00       1.96       0.00       0.00       0.00    0.124     './gold_soln_DecoysActives_m13_1.sdf'               'Compound 6'
     35.32     -36.22       0.00       0.00       0.00       0.00       0.59       0.27    2.126     './gold_soln_DecoysActives_m14_5.sdf'               'Compound 7'
     32.21     -21.38       0.00       1.87       0.94       0.00       0.22       0.04    0.363     './gold_soln_DecoysActives_m15_4.sdf'               'Compound 8'
     37.97     -37.98       0.00       0.00       0.00       0.00       0.01       0.02    0.379     './gold_soln_DecoysActives_m16_1.sdf'               'Compound 9'
     30.96     -29.57       0.46       0.00       0.00       0.00       0.00       0.00    0.118     './gold_soln_DecoysActives_m17_2.sdf'              'Compound 10'
     58.35     -58.64       0.00       0.00       0.00       0.00       0.15       0.00    5.466    './gold_soln_DecoysActives_m18_14.sdf'              'Compound 11'
     41.88     -44.15       0.00       0.00       0.00       0.00       1.17       0.06    1.923     './gold_soln_DecoysActives_m19_1.sdf'              'Compound 12'
     36.89     -29.55       1.45       1.00       0.00       0.00       0.00       0.00    0.416     './gold_soln_DecoysActives_m20_3.sdf'              'Compound 13'
     43.64     -24.05       2.67       0.00       1.94       0.00       0.13       0.21    1.018     './gold_soln_DecoysActives_m21_2.sdf'              'Compound 14'
     45.09     -30.27       1.00       0.00       1.99       0.00       0.07       0.04    1.934    './gold_soln_DecoysActives_m22_19.sdf'              'Compound 15'
     50.39     -44.87       0.27       0.00       0.90       0.00       1.01       1.35    2.037     './gold_soln_DecoysActives_m23_6.sdf'              'Compound 16'
     46.41     -34.70       1.00       0.00       1.54       0.00       0.28       0.01    0.760     './gold_soln_DecoysActives_m24_1.sdf'              'Compound 17'
     44.09     -36.04       1.42       0.00       0.77       0.00       0.46       0.06    1.305     './gold_soln_DecoysActives_m25_3.sdf'              'Compound 18'
     35.85     -34.91       0.99       0.00       0.00       0.00       1.10       0.16    0.735     './gold_soln_DecoysActives_m26_3.sdf'              'Compound 19'
     42.67     -34.76       0.83       0.00       1.00       0.00       2.34       4.08    3.334     './gold_soln_DecoysActives_m27_4.sdf'              'Compound 20'
     28.43     -24.13       1.43       0.00       0.00       0.00       0.00       0.00    0.396     './gold_soln_DecoysActives_m28_3.sdf'              'Compound 21'
     43.04     -27.82       1.00       0.20       1.94       0.00       0.00       0.00    0.125     './gold_soln_DecoysActives_m29_2.sdf'              'Compound 22'
     42.46     -27.61       2.96       0.00       1.00       0.00       0.97       1.91    0.461     './gold_soln_DecoysActives_m30_2.sdf'              'Compound 23'
     58.86     -39.30       2.87       0.00       1.96       0.00       1.51       2.17    0.977     './gold_soln_DecoysActives_m31_3.sdf'              'Compound 24'
     47.60     -34.25       1.00       0.00       1.77       0.00       0.14       0.00    1.230     './gold_soln_DecoysActives_m32_2.sdf'              'Compound 25'
     44.22     -42.26       0.00       1.00       0.00       0.00       0.56       0.08    0.303     './gold_soln_DecoysActives_m33_2.sdf'              'Compound 26'
     32.85     -24.48       1.00       0.00       0.90       0.00       0.00       0.00    0.122     './gold_soln_DecoysActives_m34_2.sdf'              'Compound 27'
     39.66     -32.66       0.36       0.00       0.99       0.00       0.00       0.00    0.319     './gold_soln_DecoysActives_m35_5.sdf'              'Compound 28'
     31.70     -23.80       0.72       0.00       0.97       0.00       0.08       0.09    0.671     './gold_soln_DecoysActives_m36_1.sdf'              'Compound 29'
     27.53     -24.53       0.00       1.00       0.00       0.00       0.00       0.00    0.109     './gold_soln_DecoysActives_m37_3.sdf'              'Compound 30'
     26.22     -23.22       0.00       1.00       0.00       0.00       0.00       0.00    0.105     './gold_soln_DecoysActives_m38_2.sdf'              'Compound 31'
     26.14     -26.14       0.00       0.00       0.00       0.00       0.00       0.00    0.228     './gold_soln_DecoysActives_m39_2.sdf'              'Compound 32'
     32.93     -18.90       1.00       0.00       1.84       0.00       0.00       0.00    1.802     './gold_soln_DecoysActives_m40_1.sdf'              'Compound 33'
     46.90     -39.48       0.00       1.00       0.97       0.00       0.70       0.00    0.514     './gold_soln_DecoysActives_m41_2.sdf'              'Compound 34'
     45.66     -39.87       0.00       0.00       0.99       0.00       0.07       0.01    1.579     './gold_soln_DecoysActives_m42_4.sdf'              'Compound 35'
     40.06     -34.14       0.00       0.00       0.99       0.00       0.00       0.00    0.110     './gold_soln_DecoysActives_m43_1.sdf'              'Compound 36'
     32.05     -22.23       1.30       0.00       0.99       0.00       0.00       0.00    0.111     './gold_soln_DecoysActives_m44_2.sdf'              'Compound 37'
     59.23     -43.09       1.00       1.00       2.00       0.00       0.99       0.11   11.865    './gold_soln_DecoysActives_m45_15.sdf'              'Compound 38'
     27.68     -21.68       2.00       0.00       0.00       0.00       0.00       0.00    0.140     './gold_soln_DecoysActives_m46_4.sdf'              'Compound 39'
     51.56     -31.57       2.99       0.00       1.99       0.00       0.54       0.18    0.751     './gold_soln_DecoysActives_m47_2.sdf'              'Compound 40'
     38.84     -33.34       0.20       0.00       0.99       0.00       0.51       0.00    0.524     './gold_soln_DecoysActives_m48_3.sdf'              'Compound 41'
     40.11     -34.50       1.99       0.00       0.00       0.00       0.21       0.05    0.310     './gold_soln_DecoysActives_m49_1.sdf'              'Compound 42'
     41.71     -41.82       0.00       0.00       0.00       0.00       0.07       0.04    0.783     './gold_soln_DecoysActives_m50_2.sdf'              'Compound 43'
     32.40     -31.49       0.84       0.00       0.00       0.00       0.81       0.00    0.287     './gold_soln_DecoysActives_m51_2.sdf'              'Compound 44'
     41.34     -26.92       1.84       1.00       1.00       0.00       0.06       0.00    0.287     './gold_soln_DecoysActives_m52_2.sdf'              'Compound 45'
     45.26     -34.48       0.00       0.00       1.99       0.00       1.05       0.96    0.918     './gold_soln_DecoysActives_m53_2.sdf'              'Compound 46'
     44.33     -35.16       0.54       0.88       0.90       0.00       2.26       4.03    3.132     './gold_soln_DecoysActives_m54_9.sdf'              'Compound 47'
     41.36     -27.15       1.00       0.00       1.99       0.00       0.66       0.60    0.302     './gold_soln_DecoysActives_m55_1.sdf'              'Compound 48'
     29.50     -26.50       1.00       0.00       0.00       0.00       0.00       0.00    0.269     './gold_soln_DecoysActives_m56_3.sdf'              'Compound 49'
     41.51     -23.99       1.00       1.00       1.94       0.00       0.07       0.01    2.103    './gold_soln_DecoysActives_m57_15.sdf'              'Compound 50'
     43.04     -31.33       1.00       1.00       1.00       0.00       0.14       0.00    0.850     './gold_soln_DecoysActives_m58_4.sdf'              'Compound 51'
     51.15     -42.27       1.00       0.00       1.00       0.00       0.54       0.96    0.260     './gold_soln_DecoysActives_m59_2.sdf'              'Compound 52'
     30.57     -27.57       0.00       1.00       0.00       0.00       0.00       0.00    0.740     './gold_soln_DecoysActives_m60_9.sdf'              'Compound 53'
     45.09     -28.27       2.14       0.00       1.97       0.00       0.71       0.00    1.433     './gold_soln_DecoysActives_m61_2.sdf'              'Compound 54'
     58.46     -40.49       1.93       0.00       2.29       0.00       1.33       1.11    1.003     './gold_soln_DecoysActives_m62_1.sdf'              'Compound 55'
     47.38     -35.35       1.00       0.00       1.99       0.00       1.45       0.00    1.902     './gold_soln_DecoysActives_m63_5.sdf'              'Compound 56'
     36.42     -32.52       1.34       0.00       0.00       0.00       0.69       1.28    0.467     './gold_soln_DecoysActives_m64_4.sdf'              'Compound 57'
     30.52     -21.52       3.00       0.00       0.00       0.00       0.00       0.00    0.417     './gold_soln_DecoysActives_m65_2.sdf'              'Compound 58'
     47.39     -34.89       1.00       0.00       1.97       0.00       1.17       0.02    0.268     './gold_soln_DecoysActives_m66_1.sdf'              'Compound 59'
     37.79     -34.79       1.00       0.00       0.00       0.00       0.00       0.00    0.262     './gold_soln_DecoysActives_m67_3.sdf'              'Compound 60'
     41.31     -31.18       1.86       0.00       0.99       0.00       0.68       0.00    0.294     './gold_soln_DecoysActives_m68_3.sdf'              'Compound 61'
     36.65     -34.95       0.57       0.00       0.00       0.00       0.01       0.00    0.363     './gold_soln_DecoysActives_m69_1.sdf'              'Compound 62'
     34.13     -29.50       1.54       0.00       0.00       0.00       0.00       0.00    0.119     './gold_soln_DecoysActives_m70_1.sdf'              'Compound 63'
     33.08     -25.46       1.00       0.00       0.90       0.00       0.37       0.00    0.284     './gold_soln_DecoysActives_m71_1.sdf'              'Compound 64'
     34.65     -22.78       2.00       0.00       1.00       0.00       0.07       0.00    0.828     './gold_soln_DecoysActives_m72_8.sdf'              'Compound 65'
     41.83     -39.05       0.00       1.00       0.00       0.00       0.12       0.00    2.454     './gold_soln_DecoysActives_m73_2.sdf'              'Compound 66'
     45.27     -25.65       0.94       0.00       2.87       0.00       1.31       2.20    3.307     './gold_soln_DecoysActives_m74_7.sdf'              'Compound 67'
     53.87     -39.56       1.00       0.00       1.99       0.00       0.34       0.07    0.467     './gold_soln_DecoysActives_m75_2.sdf'              'Compound 68'
     39.43     -27.43       2.00       0.00       1.00       0.00       0.00       0.00    0.119     './gold_soln_DecoysActives_m76_2.sdf'              'Compound 69'
     45.90     -38.40       0.65       2.00       0.00       0.00       0.23       0.00    0.523     './gold_soln_DecoysActives_m77_3.sdf'              'Compound 70'
     35.53     -33.42       0.00       1.00       0.00       0.00       0.45       0.00    0.457     './gold_soln_DecoysActives_m78_1.sdf'              'Compound 71'
     37.88     -31.87       0.00       1.00       0.70       0.00       0.59       0.00    0.462     './gold_soln_DecoysActives_m79_2.sdf'              'Compound 72'
     38.25     -39.25       0.00       0.00       0.00       0.00       0.50       0.00    0.433     './gold_soln_DecoysActives_m80_2.sdf'              'Compound 73'
     44.13     -29.59       1.00       0.00       1.97       0.00       2.13       3.99    0.438     './gold_soln_DecoysActives_m81_1.sdf'              'Compound 74'
     49.18     -33.65       1.22       0.00       2.00       0.00       0.07       0.00    2.218     './gold_soln_DecoysActives_m82_6.sdf'              'Compound 75'
     47.06     -36.81       3.70       0.00       0.00       0.00       0.43       0.00    9.945    './gold_soln_DecoysActives_m83_19.sdf'              'Compound 76'
     47.41     -43.84       0.00       0.00       0.97       0.00       1.24       0.22    0.851     './gold_soln_DecoysActives_m84_8.sdf'              'Compound 77'
     39.70     -38.01       0.99       0.00       0.00       0.00       0.74       0.21    0.451     './gold_soln_DecoysActives_m85_3.sdf'              'Compound 78'
     39.94     -31.12       2.00       1.00       0.00       0.00       0.18       0.18    0.314     './gold_soln_DecoysActives_m86_2.sdf'              'Compound 79'
     39.20     -30.39       1.00       0.00       0.97       0.00       0.02       0.02    0.520     './gold_soln_DecoysActives_m87_1.sdf'              'Compound 80'
     41.24     -26.32       1.00       0.00       2.00       0.00       0.05       0.04    0.300     './gold_soln_DecoysActives_m88_1.sdf'              'Compound 81'
     40.98     -36.56       0.34       0.00       0.97       0.00       1.27       0.12    0.897     './gold_soln_DecoysActives_m89_3.sdf'              'Compound 82'
     38.37     -36.03       1.00       0.00       0.00       0.00       0.35       0.05    1.917    './gold_soln_DecoysActives_m90_12.sdf'              'Compound 83'
     36.75     -31.24       2.81       0.00       0.00       0.00       1.47       0.01    0.922     './gold_soln_DecoysActives_m91_1.sdf'              'Compound 84'
     43.38     -28.80       1.00       0.00       2.00       0.00       0.20       0.01    0.992     './gold_soln_DecoysActives_m92_3.sdf'              'Compound 85'
     51.01     -37.55       1.00       0.00       2.00       0.00       0.81       0.11    5.691    './gold_soln_DecoysActives_m93_13.sdf'              'Compound 86'
     44.00     -38.00       0.00       0.00       1.00       0.00       0.00       0.00    0.201     './gold_soln_DecoysActives_m94_2.sdf'              'Compound 87'
     44.49     -28.22       1.93       1.68       0.99       0.00       0.24       0.00    2.961     './gold_soln_DecoysActives_m95_2.sdf'              'Compound 88'
     51.20     -33.37       1.00       1.00       1.99       0.00       1.06       2.04    0.476     './gold_soln_DecoysActives_m96_1.sdf'              'Compound 89'
     44.73     -27.44       1.00       0.78       2.00       0.00       0.71       1.37    6.269    './gold_soln_DecoysActives_m97_15.sdf'              'Compound 90'
     44.93     -32.69       1.00       0.00       1.98       0.00       1.51       0.36    0.497     './gold_soln_DecoysActives_m98_3.sdf'              'Compound 91'
     28.83     -16.92       2.00       0.00       0.99       0.00       0.00       0.00    0.116     './gold_soln_DecoysActives_m99_2.sdf'              'Compound 92'
     44.33     -40.22       0.00       0.00       0.97       0.00       0.97       0.23    0.394    './gold_soln_DecoysActives_m100_2.sdf'              'Compound 93'
     32.19     -27.62       1.52       0.00       0.00       0.00       0.00       0.00    0.118    './gold_soln_DecoysActives_m101_3.sdf'              'Compound 94'
     32.90     -21.24       1.86       0.23       0.90       0.00       0.00       0.00    0.846   './gold_soln_DecoysActives_m102_10.sdf'              'Compound 95'
     29.74     -19.74       2.00       0.00       0.97       0.00       0.91       0.00    0.259    './gold_soln_DecoysActives_m103_2.sdf'              'Compound 96'
     43.39     -42.90       0.24       0.00       0.00       0.00       0.71       1.17    0.734    './gold_soln_DecoysActives_m104_2.sdf'              'Compound 97'
     47.73     -39.89       1.00       0.00       1.00       0.00       0.59       0.06    0.936    './gold_soln_DecoysActives_m105_3.sdf'              'Compound 98'
     54.15     -38.02       1.98       0.00       1.94       0.00       1.28       1.13    1.531    './gold_soln_DecoysActives_m106_3.sdf'              'Compound 99'
     38.16     -35.16       1.00       0.00       0.00       0.00       0.00       0.00    0.450    './gold_soln_DecoysActives_m107_4.sdf'             'Compound 100'
     50.06     -42.58       1.00       0.00       1.99       4.46       1.65       0.31    7.023    './gold_soln_DecoysActives_m108_5.sdf'             'Compound 101'
     50.81     -42.66       0.91       0.00       1.99       4.42       1.20       0.32    7.301    './gold_soln_DecoysActives_m109_8.sdf'             'Compound 102'
     47.86     -41.94       0.00       0.80       1.00       0.00       1.26       0.08    1.722    './gold_soln_DecoysActives_m110_5.sdf'             'Compound 103'
     39.48     -39.97       0.00       0.00       0.00       0.00       0.49       0.48    0.302    './gold_soln_DecoysActives_m111_2.sdf'             'Compound 104'
     33.30     -33.26       0.01       0.00       0.00       0.00       0.00       0.00    0.479    './gold_soln_DecoysActives_m112_1.sdf'             'Compound 105'
