Name          Energy      LE
Actives1        -7.7  -0.453
Actives2       -6.86   -0.49
Actives3       -8.19  -0.482
Actives4       -7.62  -0.423
Actives5       -4.59   -0.51
Actives6       -6.53  -0.502
Actives7       -5.44  -0.544
Decoys100      -4.57  -0.352
Decoys101      -6.77  -0.322
Decoys102      -7.03   -0.32
Decoys103      -7.28  -0.347
Decoys104       -5.2  -0.371
Decoys105      -5.37  -0.384
Decoys106      -4.57  -0.415
Decoys107      -5.01  -0.313
Decoys108      -4.65   -0.31
Decoys109      -5.29  -0.481
Decoys10       -5.32  -0.443
Decoys110      -7.46  -0.339
Decoys111      -7.06  -0.372
Decoys112       -5.6    -0.4
Decoys113      -4.79  -0.399
Decoys114      -5.71   -0.26
Decoys115      -5.17  -0.272
Decoys116      -5.94   -0.33
Decoys117      -5.88  -0.452
Decoys118      -5.31  -0.408
Decoys119      -6.53  -0.466
Decoys11       -6.14  -0.267
Decoys120      -5.65  -0.404
Decoys121      -5.57  -0.348
Decoys122      -5.83  -0.343
Decoys123      -5.34  -0.411
Decoys124      -5.18  -0.398
Decoys125      -5.79  -0.414
Decoys126      -4.95   -0.45
Decoys127      -5.77  -0.444
Decoys128      -4.67  -0.359
Decoys129      -5.26  -0.478
Decoys12       -4.61  -0.271
Decoys130      -5.13  -0.466
Decoys131      -5.18  -0.324
Decoys132      -5.77  -0.339
Decoys133       -4.9  -0.288
Decoys134      -6.17  -0.411
Decoys135      -7.72  -0.482
Decoys136      -8.46   -0.47
Decoys137      -5.94  -0.495
Decoys138         -5  -0.312
Decoys139      -6.09  -0.406
Decoys13       -6.86  -0.381
Decoys140      -6.07  -0.405
Decoys141      -6.21  -0.478
Decoys142      -6.86  -0.404
Decoys143      -5.12  -0.366
Decoys144      -6.19  -0.344
Decoys145      -5.84  -0.344
Decoys146      -5.48  -0.365
Decoys147      -5.43  -0.319
Decoys148      -5.44  -0.302
Decoys149       -5.5  -0.306
Decoys14       -5.63  -0.375
Decoys150      -5.52  -0.425
Decoys151      -6.23  -0.328
Decoys152      -5.89  -0.393
Decoys153      -4.13  -0.344
Decoys154      -4.11  -0.457
Decoys155      -3.03  -0.303
Decoys156      -5.11  -0.426
Decoys157      -5.41  -0.386
Decoys158      -4.55  -0.303
Decoys159      -4.86  -0.256
Decoys15       -5.17  -0.304
Decoys160      -4.51  -0.282
Decoys161      -4.86  -0.486
Decoys162      -7.08  -0.472
Decoys163      -5.71  -0.381
Decoys164      -7.23  -0.314
Decoys165      -6.69  -0.304
Decoys166      -4.57  -0.352
Decoys167      -6.05  -0.356
Decoys168      -6.54  -0.385
Decoys169       -6.7  -0.353
Decoys16       -5.63  -0.281
Decoys170      -6.87  -0.286
Decoys171      -5.63  -0.313
Decoys172      -5.88  -0.346
Decoys173      -4.71  -0.314
Decoys174      -6.33  -0.333
Decoys175      -7.35  -0.334
Decoys176      -7.51  -0.376
Decoys177      -8.06  -0.403
Decoys178      -8.35   -0.38
Decoys179      -7.38  -0.335
Decoys17       -6.66  -0.416
Decoys180       -6.3   -0.35
Decoys181      -7.51  -0.327
Decoys182      -6.54  -0.344
Decoys183       -5.9  -0.281
Decoys184      -5.34  -0.356
Decoys185      -6.27  -0.448
Decoys186      -7.59  -0.422
Decoys187      -8.49  -0.404
Decoys188      -6.12  -0.278
Decoys189      -6.87  -0.362
Decoys18       -5.82  -0.364
Decoys190       -6.1  -0.265
Decoys191       -7.4   -0.37
Decoys192       -6.3  -0.394
Decoys193      -7.36  -0.526
Decoys194      -3.46  -0.315
Decoys195      -6.39  -0.399
Decoys196      -4.92  -0.447
Decoys197      -4.03  -0.366
Decoys198      -4.73  -0.394
Decoys199       -6.3  -0.394
Decoys19       -5.04   -0.36
Decoys1        -5.89  -0.294
Decoys200      -6.83  -0.455
Decoys20       -7.07  -0.416
Decoys21       -3.95  -0.494
Decoys22       -4.81  -0.344
Decoys23       -5.66  -0.515
Decoys24       -6.75  -0.375
Decoys25       -6.86  -0.429
Decoys26       -5.44   -0.34
Decoys27       -5.23  -0.374
Decoys28       -5.64  -0.332
Decoys29       -4.69  -0.469
Decoys2        -7.05  -0.371
Decoys30       -3.27  -0.409
Decoys31       -3.62  -0.453
Decoys32        -2.9  -0.362
Decoys33       -4.69  -0.361
Decoys34       -5.74  -0.359
Decoys35       -6.39  -0.336
Decoys36       -5.26  -0.376
Decoys37       -5.59  -0.508
Decoys38       -5.59  -0.254
Decoys39       -4.82  -0.603
Decoys3        -4.72  -0.295
Decoys40       -5.99  -0.428
Decoys41       -6.44  -0.403
Decoys42       -5.15  -0.368
Decoys43       -4.88  -0.287
Decoys44       -4.43  -0.403
Decoys45       -5.32  -0.409
Decoys46       -6.18  -0.325
Decoys47       -6.77  -0.451
Decoys48       -5.71  -0.439
Decoys49       -5.04  -0.504
Decoys4        -4.55  -0.379
Decoys50       -5.56  -0.397
Decoys51       -5.37  -0.413
Decoys52       -5.34  -0.334
Decoys53       -5.15  -0.515
Decoys54       -5.71  -0.439
Decoys55       -6.57  -0.365
Decoys56       -4.81  -0.344
Decoys57       -5.34  -0.314
Decoys58       -4.94  -0.549
Decoys59       -4.52  -0.348
Decoys5        -7.09  -0.354
Decoys60       -5.61  -0.401
Decoys61       -5.65  -0.332
Decoys62       -6.09  -0.468
Decoys63       -5.13  -0.395
Decoys64       -5.96  -0.426
Decoys65       -4.55  -0.414
Decoys66       -4.93  -0.274
Decoys67       -5.48  -0.274
Decoys68       -6.07  -0.357
Decoys69       -5.32  -0.484
Decoys6        -6.33  -0.633
Decoys70       -6.56   -0.41
Decoys71       -5.02  -0.386
Decoys72       -5.26  -0.376
Decoys73       -4.87  -0.348
Decoys74       -4.87  -0.325
Decoys75       -6.85  -0.381
Decoys76       -7.17  -0.398
Decoys77       -5.18  -0.288
Decoys78       -5.91  -0.492
Decoys79       -5.34  -0.381
Decoys7        -3.92  -0.261
Decoys80       -5.57  -0.398
Decoys81       -5.31  -0.408
Decoys82        -6.6  -0.367
Decoys83       -6.12  -0.383
Decoys84       -6.84   -0.38
Decoys85       -5.83  -0.416
Decoys86       -6.64  -0.391
Decoys87       -4.88  -0.271
Decoys88       -5.45  -0.389
Decoys89       -6.73  -0.396
Decoys8        -4.09  -0.454
Decoys90       -6.54  -0.344
Decoys91       -6.29   -0.37
Decoys92       -5.05  -0.505
Decoys93       -5.63  -0.352
Decoys94       -5.06  -0.422
Decoys95        -5.4  -0.491
Decoys96       -5.55  -0.505
Decoys97       -5.76   -0.36
Decoys98       -4.71  -0.294
Decoys99       -6.46  -0.294
Decoys9        -4.66  -0.274
